datetime,open,high,low,close,volume
2023-01-03 10:00:00,118.47,118.8,111.61,111.64,35929113.0
2023-01-03 10:30:00,111.64,112.31,110.3507,111.06,20508723.0
2023-01-03 11:00:00,111.05,112.24,110.26,110.9106,15935070.0
2023-01-03 11:30:00,110.9123,111.03,108.05,108.4701,18001834.0
2023-01-03 12:00:00,108.4724,108.495,105.6,106.7,20383976.0
2023-01-03 12:30:00,106.7071,107.3287,105.65,106.15,13067211.0
2023-01-03 13:00:00,106.1488,106.476,104.79,105.53,13308781.0
2023-01-03 13:30:00,105.54,105.7299,104.64,105.67,10801693.0
2023-01-03 14:00:00,105.67,106.72,105.3401,106.4799,11798128.0
2023-01-03 14:30:00,106.4877,107.45,106.0,107.32,11562174.0
2023-01-03 15:00:00,107.32,109.4,106.77,108.355,15814271.0
2023-01-03 15:30:00,108.3527,109.0,107.21,108.085,13738928.0
2023-01-03 16:00:00,108.09,108.75,107.52,108.1,18797647.0
2023-01-04 10:00:00,109.11,112.74,107.52,109.64,33803112.0
2023-01-04 10:30:00,109.58,111.11,107.8201,110.72,20681083.0
2023-01-04 11:00:00,110.6927,112.44,109.9301,111.9,14558821.0
2023-01-04 11:30:00,111.92,112.43,110.66,112.3001,11449314.0
2023-01-04 12:00:00,112.315,114.59,112.25,113.18,16962860.0
2023-01-04 12:30:00,113.19,113.36,112.43,112.7476,8684733.0
2023-01-04 13:00:00,112.75,112.94,111.43,111.7321,7978608.0
2023-01-04 13:30:00,111.7299,112.88,111.56,112.76,6683697.0
2023-01-04 14:00:00,112.765,114.0923,112.54,113.72,8974580.0
2023-01-04 14:30:00,113.6733,114.3,111.84,112.025,14153665.0
2023-01-04 15:00:00,112.0236,113.94,111.9,113.622,8883374.0
2023-01-04 15:30:00,113.62,113.85,113.0,113.01,7655533.0
2023-01-04 16:00:00,113.01,113.72,112.25,113.64,12457739.0
2023-01-05 10:00:00,110.51,111.33,107.44,108.64,26481507.0
2023-01-05 10:30:00,108.64,110.15,107.75,108.4177,17441199.0
2023-01-05 11:00:00,108.41,108.56,107.1601,107.94,13321105.0
2023-01-05 11:30:00,107.93,108.96,107.682,108.6,9550251.0
2023-01-05 12:00:00,108.59,110.47,108.36,110.3713,11433796.0
2023-01-05 12:30:00,110.3713,110.52,109.47,109.9874,9143806.0
2023-01-05 13:00:00,109.98,110.2683,109.21,109.75,7057479.0
2023-01-05 13:30:00,109.75,111.75,109.51,111.085,11107985.0
2023-01-05 14:00:00,111.088,111.45,110.12,110.69,9499413.0
2023-01-05 14:30:00,110.72,111.11,110.1,110.1199,7238828.0
2023-01-05 15:00:00,110.11,111.3299,109.97,110.805,10200861.0
2023-01-05 15:30:00,110.8093,111.2,110.37,110.5901,6925559.0
2023-01-05 16:00:00,110.6028,110.86,110.06,110.34,11043699.0
2023-01-06 10:00:00,103.0,107.11,101.81,105.14,40198561.0
2023-01-06 10:30:00,105.14,107.55,105.14,105.8,20933574.0
2023-01-06 11:00:00,105.79,109.27,105.6,108.75,18026747.0
2023-01-06 11:30:00,108.75,109.8,107.91,109.7,12872061.0
2023-01-06 12:00:00,109.71,111.45,109.2001,111.3301,15110232.0
2023-01-06 12:30:00,111.3573,112.9176,111.01,111.81,15609440.0
2023-01-06 13:00:00,111.81,112.26,110.64,111.28,13852299.0
2023-01-06 13:30:00,111.3,111.7,110.23,111.1384,10131895.0
2023-01-06 14:00:00,111.13,112.04,111.07,111.8819,8106969.0
2023-01-06 14:30:00,111.9,113.13,111.57,112.805,10648274.0
2023-01-06 15:00:00,112.8014,114.04,112.73,113.53,11661051.0
2023-01-06 15:30:00,113.5218,114.39,113.06,113.12,11881859.0
2023-01-06 16:00:00,113.12,113.5992,112.45,113.06,16230025.0
2023-01-09 10:00:00,118.96,122.5,117.11,122.4335,37311137.0
2023-01-09 10:30:00,122.45,123.05,120.33,121.619,24568542.0
2023-01-09 11:00:00,121.61,123.33,121.42,121.5,17353749.0
2023-01-09 11:30:00,121.5,122.51,121.45,122.11,11267309.0
2023-01-09 12:00:00,122.13,122.44,120.875,121.85,10063511.0
2023-01-09 12:30:00,121.8478,122.6,121.65,122.03,7483597.0
2023-01-09 13:00:00,122.04,122.28,121.01,122.1523,8062266.0
2023-01-09 13:30:00,122.15,123.52,121.85,123.21,9923922.0
2023-01-09 14:00:00,123.2139,123.24,120.72,121.24,11980477.0
2023-01-09 14:30:00,121.25,121.96,120.88,121.77,9322166.0
2023-01-09 15:00:00,121.776,122.01,120.48,120.6001,9025405.0
2023-01-09 15:30:00,120.6019,121.01,119.78,120.58,10822749.0
2023-01-09 16:00:00,120.59,120.765,119.26,119.77,14206603.0
2023-01-10 10:00:00,121.07,122.76,117.36,118.922,30407659.0
2023-01-10 10:30:00,118.92,119.76,117.58,117.8599,18070849.0
2023-01-10 11:00:00,117.85,117.87,114.92,115.97,20401460.0
2023-01-10 11:30:00,115.97,117.08,115.44,116.58,11193373.0
2023-01-10 12:00:00,116.575,117.04,116.1801,116.315,8838803.0
