datetime,open,high,low,close,volume
2023-01-03 10:00:00,262.900871194,264.373664089,259.906355408,259.972802343,6508166.0
2023-01-03 10:30:00,259.974857403,260.503301366,258.369953518,258.917969479,3719273.0
2023-01-03 11:00:00,258.89839748,259.622561429,258.086159538,259.554059433,2477790.0
2023-01-03 11:30:00,259.534487435,259.816324215,257.577287575,258.139982535,2762629.0
2023-01-03 12:00:00,258.144875534,258.154661534,256.823765629,257.185847603,2930458.0
2023-01-03 12:30:00,257.176061604,257.724077564,256.696547638,257.195731462,2002456.0
2023-01-03 13:00:00,257.2249916,257.998085545,256.52039965,257.127131607,1643706.0
2023-01-03 13:30:00,257.132024607,257.958941548,256.696547638,257.802365559,1298163.0
2023-01-03 14:00:00,257.831723557,258.291665524,257.420711586,258.174233532,2471176.0
2023-01-03 14:30:00,258.164447533,258.506957508,257.64578957,257.900225552,2081577.0
2023-01-03 15:00:00,257.910011551,259.309409451,257.137309046,258.692891495,2595963.0
2023-01-03 15:30:00,258.702677494,259.524701436,258.467813511,258.810519207,2785609.0
2023-01-03 16:00:00,258.820109486,259.31919545,258.575459503,258.820109486,4675316.0
2023-01-04 10:00:00,260.933885335,261.207893315,259.054973469,259.710635422,5378053.0
2023-01-04 10:30:00,259.651919426,260.562017361,256.911839622,258.086159538,6156516.0
2023-01-04 11:00:00,258.056801541,259.397483445,257.234777599,259.338767449,2811837.0
2023-01-04 11:30:00,259.32898145,260.082503396,258.751607491,259.994429402,2205364.0
2023-01-04 12:00:00,259.984643403,261.726551278,259.984643403,261.237153453,3262867.0
2023-01-04 12:30:00,261.295967309,261.501473294,260.796881345,261.090461324,1654467.0
2023-01-04 13:00:00,261.090461324,261.530831292,260.199935387,260.214614386,1616602.0
2023-01-04 13:30:00,260.209721386,260.914313336,259.568738432,260.71869121,1927101.0
2023-01-04 14:00:00,260.72084413,261.207893315,260.219507386,260.483729367,1468838.0
2023-01-04 14:30:00,260.473943368,261.628691285,257.91979755,258.086159538,6537370.0
2023-01-04 15:00:00,258.06658754,260.102075394,257.812151558,260.014001401,3021398.0
2023-01-04 15:30:00,260.01850296,260.679449353,259.133261464,259.162619461,2351689.0
2023-01-04 16:00:00,259.162619461,260.268437382,257.958941548,260.053145398,5203252.0
2023-01-05 10:00:00,258.389525517,258.438455513,255.903979554,257.195633602,6112420.0
2023-01-05 10:30:00,257.185847603,258.555887505,256.647617641,257.283707596,4896599.0
2023-01-05 11:00:00,257.283707596,257.420711586,256.38339566,256.549757648,3250215.0
2023-01-05 11:30:00,256.549757648,257.489213581,256.285535667,256.706333637,2880216.0
2023-01-05 12:00:00,256.686761639,257.547929577,256.539971649,256.80419363,1722048.0
2023-01-05 12:30:00,256.823765629,257.567501576,256.38339566,256.867802626,1580199.0
2023-01-05 13:00:00,256.872695625,257.410925587,256.354037662,256.39318166,1659627.0
2023-01-05 13:30:00,256.398074659,258.135089535,256.040885685,257.528357578,3540155.0
2023-01-05 14:00:00,257.538143578,258.20359153,257.097773609,257.254349598,1998351.0
2023-01-05 14:30:00,257.283707596,257.567501576,256.911839622,256.965662619,1310158.0
2023-01-05 15:00:00,256.970555618,258.184019531,256.94609062,257.381567589,1799062.0
2023-01-05 15:30:00,257.396246588,257.396246588,256.236605671,256.402967659,2861168.0
2023-01-05 16:00:00,256.422539657,256.608473644,255.669017711,255.982169689,6357631.0
